trade_date,open,high,low,close,vol,amount,outstanding_share,turnover
2025-08-11,23.3,25.63,23.1,25.62,185577335.0,4580095235.0,1701794667.0,0.1090480177183444
2025-08-12,25.58,26.95,25.13,26.24,194506413.0,5058869285.0,1701794667.0,0.11429487750298609
2025-08-13,25.95,28.86,25.8,28.86,150210915.0,4196875134.0,1701794667.0,0.08826618035229745
2025-08-14,29.46,30.68,27.05,27.56,268417584.0,7758378635.0,1701794667.0,0.1577261870688422
2025-08-15,27.45,27.9,25.19,25.55,243505029.0,6289350208.0,1701794667.0,0.14308719713481158
2025-08-18,25.3,27.97,25.27,27.77,218394218.0,5747544276.0,1701794667.0,0.12833170900987434
2025-08-19,27.2,28.11,26.2,26.67,162730593.0,4392731524.0,1701794667.0,0.09562293040139137
2025-08-20,26.7,27.13,25.97,26.3,116910210.0,3102875704.0,1701794667.0,0.06869818801706234
2025-08-21,26.0,26.3,25.05,25.15,111190446.0,2832444739.0,1701794667.0,0.06533716914039431
2025-08-22,25.05,25.67,24.8,25.62,101964668.0,2576972353.0,1701794667.0,0.05991596399802327
2025-08-25,25.62,26.14,25.0,25.84,107149100.0,2759348336.0,1701794667.0,0.06296241378455325
2025-08-26,25.63,26.29,25.3,25.37,99308407.0,2536852069.0,1701794667.0,0.05835510530483993
2025-08-27,25.38,25.38,24.07,24.09,116812988.0,2863221041.0,1701794667.0,0.06864105891571701
2025-08-28,24.0,24.0,22.74,23.95,112607844.0,2633434153.0,1701794667.0,0.06617005340515619
2025-08-29,23.86,26.28,23.72,25.72,151422237.0,3755955574.0,1701794667.0,0.08897797127718934
2025-09-01,26.05,26.14,24.35,25.36,118552707.0,3014491530.0,1701794667.0,0.06966334382102045
2025-09-02,25.0,25.0,24.0,24.61,84083847.0,2065501737.0,1701794667.0,0.04940892613574044
2025-09-03,24.73,25.21,22.15,22.15,108370487.0,2500419932.0,1701794667.0,0.0636801190539869
2025-09-04,20.87,21.15,19.94,19.94,87908601.0,1774516801.0,1701794667.0,0.05165640879282412
2025-09-05,19.0,20.38,18.03,19.61,119274977.0,2279486669.0,1701794667.0,0.07008776047598227
2025-09-08,19.39,19.66,18.93,19.2,76838134.0,1475554777.0,1701794667.0,0.0451512368031178
2025-09-09,19.08,19.82,18.72,18.84,81987690.0,1578753817.0,1701794667.0,0.04817719293040892
2025-09-10,18.7,19.05,18.65,18.85,41278982.0,779964105.0,1701794667.0,0.0242561472311865
2025-09-11,18.88,19.44,18.63,19.19,55199896.0,1050363186.0,1701794667.0,0.03243628451210795
2025-09-12,19.19,20.18,19.11,19.81,96820033.0,1909202001.0,1701794667.0,0.056892899523935336
2025-09-15,19.82,19.88,19.43,19.45,53646050.0,1049024327.0,1701794667.0,0.0315232213616991
2025-09-16,19.41,19.55,19.03,19.31,40713145.0,784460201.0,1701794667.0,0.02392365294678644
2025-09-17,19.22,19.58,19.17,19.46,38033936.0,736882847.0,1701794667.0,0.022349309665570836
2025-09-18,19.45,19.7,18.75,19.05,54528833.0,1051262100.0,1701794667.0,0.03204195785624706
2025-09-19,18.95,20.15,18.92,19.51,90926036.0,1800271307.0,1701794667.0,0.053429498730471696
2025-09-22,19.4,19.68,19.12,19.38,43257460.0,835430349.0,1701794667.0,0.025418730495998198
2025-09-23,19.26,19.31,18.36,18.87,50167611.0,941015914.0,1701794667.0,0.02947923857843421
2025-09-24,18.75,18.86,18.54,18.83,27027044.0,505879243.0,1701794667.0,0.015881495296753097
2025-09-25,18.71,18.8,18.43,18.45,30372249.0,564176063.0,1701794667.0,0.017847187788842683
2025-09-26,18.41,18.8,18.3,18.34,40500714.0,750301602.0,1701794667.0,0.023798825313864964
2025-09-29,18.35,18.48,17.96,18.36,31008413.0,566233138.0,1701794667.0,0.018221007270320704
2025-09-30,18.36,18.88,18.36,18.77,38455993.0,717656794.0,1701794667.0,0.02259731667145952
2025-10-09,18.47,18.74,18.26,18.73,39294976.0,728068543.0,1701794667.0,0.023090315630892738
2025-10-10,18.65,20.18,18.63,19.88,112793464.0,2207665696.0,1701794667.0,0.06627912649346668
2025-10-13,19.22,21.5,19.15,21.44,137704354.0,2868691335.0,1701794667.0,0.08091713804859396
2025-10-14,21.66,21.66,20.41,20.58,111085342.0,2316180647.0,1701794667.0,0.06527540845795822
2025-10-15,20.27,20.32,19.01,19.79,74033352.0,1445509481.0,1701794667.0,0.043503104948912144
2025-10-16,19.62,20.17,19.6,19.71,50601627.0,1004183034.0,1701794667.0,0.02973427287159315
2025-10-17,19.47,19.49,18.55,18.59,56236102.0,1068262639.0,1701794667.0,0.033045174656197225
2025-10-20,18.78,18.88,18.36,18.48,34209056.0,633690343.0,1701794667.0,0.020101752969002577
2025-10-21,18.48,18.65,18.4,18.55,27284576.0,505413839.0,1701794667.0,0.01603282495184832
2025-10-22,18.48,18.62,18.21,18.26,28053186.0,515491881.0,1701794667.0,0.016484471683915553
2025-10-23,18.2,18.64,18.1,18.26,34973331.0,640877939.0,1701794667.0,0.0205508523902314
2025-10-24,18.19,18.95,18.19,18.54,41715351.0,776216118.0,1701794667.0,0.02451256418233916
2025-10-27,18.54,18.66,18.41,18.6,36391152.0,674387189.0,1701794667.0,0.021383985216120085
2025-10-28,19.03,20.0,18.65,19.8,95912808.0,1859703930.0,1701794667.0,0.056359800544609415
2025-10-29,19.61,19.62,19.06,19.34,61834904.0,1192627682.0,1701794667.0,0.03633511445244175
2025-10-30,19.11,19.12,18.7,18.73,42265607.0,797260625.0,1701794667.0,0.02483590283809486
