trade_date,open,high,low,close,vol,amount,outstanding_share,turnover,ts_code
2025-04-17,28.46,28.92,28.42,28.66,4193602.0,120559557.0,816996868.0,0.00513294746192344,002812.SZ
2025-04-18,28.74,28.8,28.37,28.76,3502441.0,100163837.0,816996868.0,0.004286969922631331,002812.SZ
2025-04-21,28.18,28.52,27.89,28.45,6610898.0,186837799.0,816997617.0,0.00809169802021589,002812.SZ
2025-04-22,28.4,28.59,28.18,28.2,4850252.0,137617162.0,816997617.0,0.005936678270629521,002812.SZ
2025-04-23,28.18,28.38,27.8,28.18,8281682.0,232536485.0,816997617.0,0.010136727240906996,002812.SZ
2025-04-24,28.29,28.77,27.94,27.96,6602360.0,187009149.0,816997617.0,0.008081247561337747,002812.SZ
2025-04-25,27.88,28.12,27.77,27.97,4922115.0,137572552.0,816997617.0,0.006024638135511232,002812.SZ
2025-04-28,28.0,28.04,26.34,26.65,15674664.0,422772392.0,816997617.0,0.01918569121114095,002812.SZ
2025-04-29,26.52,27.24,26.43,27.12,7794941.0,209718924.0,816997617.0,0.009540959285319433,002812.SZ
2025-04-30,27.56,27.8,27.35,27.7,5830650.0,160958796.0,816997617.0,0.007136679322774573,002812.SZ
2025-05-06,27.7,28.08,27.63,28.07,6254938.0,174434922.0,816997617.0,0.007656005194933145,002812.SZ
2025-05-07,28.46,28.51,27.8,28.08,6655170.0,187092718.0,816997617.0,0.008145886672763699,002812.SZ
2025-05-08,27.94,28.88,27.85,28.66,7765899.0,221101918.0,816997617.0,0.009505412058013384,002812.SZ
2025-05-09,28.54,28.63,27.98,28.5,6841787.0,193581945.0,816997617.0,0.008374304719667254,002812.SZ
2025-05-12,28.86,29.23,28.75,29.19,8749776.0,253544616.0,816939184.0,0.01071043741243779,002812.SZ
2025-05-13,29.46,29.48,28.86,29.17,8300711.0,242002202.0,816939184.0,0.010160745331564363,002812.SZ
2025-05-14,29.04,29.38,28.8,29.25,6473597.0,188500048.0,816939184.0,0.007924209202823598,002812.SZ
2025-05-15,29.08,29.18,28.62,28.62,5632045.0,162285645.0,816939184.0,0.0068940811143660356,002812.SZ
2025-05-16,28.58,28.85,28.42,28.44,4557515.0,130151391.0,816939184.0,0.0055787690066290176,002812.SZ
2025-05-19,28.44,28.47,27.96,28.43,5501000.0,155235442.0,816939184.0,0.00673367137693814,002812.SZ
2025-05-20,28.53,28.88,28.36,28.7,5808745.0,166501382.0,816939184.0,0.007110376284754141,002812.SZ
2025-05-21,28.71,30.5,28.71,29.69,21631320.0,647226942.0,816939184.0,0.02647849487900191,002812.SZ
2025-05-22,29.29,29.38,28.75,28.76,11179250.0,323871753.0,816939184.0,0.013684311168993945,002812.SZ
2025-05-23,28.71,29.08,28.41,28.48,7171645.0,206257298.0,816939184.0,0.008778676724606712,002812.SZ
2025-05-26,28.35,28.38,28.02,28.1,6472339.0,182241176.0,816940027.0,0.007922661133116446,002812.SZ
2025-05-27,28.1,28.72,27.87,28.43,7644518.0,215860816.0,816940027.0,0.009357502077689235,002812.SZ
2025-05-28,28.29,28.35,27.94,27.96,5001522.0,140295956.0,816940027.0,0.00612226336658615,002812.SZ
2025-05-29,27.94,28.26,27.9,28.2,4581634.0,128990430.0,816940027.0,0.005608286836947946,002812.SZ
2025-05-30,28.15,28.15,27.77,27.79,5402185.0,150645859.0,816940027.0,0.006612706957006527,002812.SZ
2025-06-03,27.65,27.83,27.45,27.7,5910646.0,163250110.0,816940027.0,0.007235103930095471,002812.SZ
2025-06-04,27.77,28.21,27.76,27.99,8093164.0,226419605.0,816940027.0,0.009906680701789142,002812.SZ
2025-06-05,28.02,28.02,27.68,27.88,6255681.0,173719496.0,816940027.0,0.007657454394752039,002812.SZ
2025-06-06,27.86,28.08,27.68,27.78,6259564.0,174502955.0,816940027.0,0.007662207497638012,002812.SZ
2025-06-09,27.82,28.33,27.81,28.14,11219218.0,315726955.0,816940027.0,0.013733221080131993,002812.SZ
2025-06-10,28.22,28.91,27.73,27.92,12962786.0,366790674.0,816940027.0,0.01586748790801996,002812.SZ
2025-06-11,27.92,28.63,27.92,28.16,10146579.0,286915531.0,816940027.0,0.01242022506506466,002812.SZ
2025-06-12,28.1,28.1,27.68,27.85,10498904.0,291786921.0,816940027.0,0.01285149907338302,002812.SZ
2025-06-13,27.18,27.19,26.05,26.27,39369729.0,1041393603.0,816940027.0,0.04819170036823278,002812.SZ
2025-06-16,26.08,26.15,25.87,26.07,12679904.0,329954317.0,816940027.0,0.015521217691540532,002812.SZ
2025-06-17,26.05,26.94,26.01,26.55,18620876.0,495587254.0,816940027.0,0.02279344307363703,002812.SZ
2025-06-18,26.49,26.62,26.1,26.5,10069777.0,264976059.0,816940027.0,0.012326213268039564,002812.SZ
2025-06-19,26.44,26.98,26.19,26.24,12393311.0,329673007.0,816940027.0,0.015170404913946027,002812.SZ
2025-06-20,26.28,26.87,26.26,26.31,11684397.0,310546498.0,816940027.0,0.014302637419919198,002812.SZ
2025-06-23,26.26,26.77,26.07,26.77,11324989.0,301277375.0,816940027.0,0.013862693252512158,002812.SZ
2025-06-24,26.78,28.12,26.77,28.12,25958604.0,718486399.0,816940027.0,0.031775409628692367,002812.SZ
2025-06-25,28.19,28.54,28.0,28.43,18631338.0,526852623.0,816940027.0,0.022806249399259758,002812.SZ
2025-06-26,28.75,30.44,28.69,29.36,40219248.0,1199077977.0,816940027.0,0.04923157963956637,002812.SZ
2025-06-27,29.58,30.9,29.54,29.62,27022676.0,809620279.0,816940027.0,0.03307791894985701,002812.SZ
2025-06-30,29.95,29.95,29.09,29.29,17175974.0,503547327.0,815625024.0,0.021058664820955763,002812.SZ
2025-07-01,29.33,29.34,28.53,28.9,16099966.0,464221434.0,815625024.0,0.019739421334870666,002812.SZ
2025-07-02,28.99,29.15,28.56,29.02,15860660.0,457069463.0,815625024.0,0.01944601935116694,002812.SZ
2025-07-03,29.0,29.73,28.61,29.43,20151161.0,589145788.0,815625024.0,0.024706403564194714,002812.SZ
